split,train_frac,n_train_rows,objective,n_products,mean_regret,median_regret,std_regret,mean_relative_performance,price_match_rate,mean_candidate_prices,selected_exposure_n
4,0.025,69,cvar_0.25,15,1.0508558054500268,0.4568390715052146,1.8630810791541832,0.8205951487675626,0.2,9.533333333333331,100
4,0.025,69,expected_revenue,15,4.690020213856913,4.169661572416253,2.757048657805751,0.8496770984253547,0.0666666666666666,9.533333333333331,100
4,0.05,137,cvar_0.25,15,0.7324042792856549,0.0315806045048256,1.8443750539608512,0.8660831947298487,0.4666666666666667,9.533333333333331,100
4,0.05,137,expected_revenue,15,2.2494085425092996,1.7667550446466755,2.399814985724769,0.9437328655255632,0.4,9.533333333333331,100
4,0.1,274,cvar_0.25,15,0.1934523143309495,0.0,0.3084895782331141,0.9625080659272708,0.5333333333333333,9.533333333333331,100
4,0.1,274,expected_revenue,15,0.9932566976639524,0.0,1.9097670352475355,0.9780440275935204,0.7333333333333333,9.533333333333331,100
4,0.2,547,cvar_0.25,15,0.164596719557199,0.1534850900578241,0.1938242826494438,0.9644684532539252,0.4,9.533333333333331,100
4,0.2,547,expected_revenue,15,1.2898979430816468,0.0,2.05186377089743,0.9711031246571572,0.6666666666666666,9.533333333333331,100
4,0.3,820,cvar_0.25,15,0.0989460398247879,0.0,0.1650819174931244,0.976169397967592,0.6,9.533333333333331,100
4,0.3,820,expected_revenue,15,1.0705263647943537,0.0,1.6561425509839462,0.9760744599491108,0.6666666666666666,9.533333333333331,100
4,0.4,1093,cvar_0.25,15,0.1341598499264659,0.0,0.1959232994344576,0.9727055198089322,0.5333333333333333,9.533333333333331,250
4,0.4,1093,expected_revenue,15,1.1918825948695262,0.0,1.953519143230216,0.9733698524253532,0.6666666666666666,9.533333333333331,250
4,0.5,1366,cvar_0.25,15,0.1048451359928142,0.0,0.16059405187789,0.9791068901964032,0.6,9.533333333333331,100
4,0.5,1366,expected_revenue,15,0.3040012648169527,0.0,0.8030450150891713,0.9935474461015994,0.8666666666666667,9.533333333333331,100
4,0.6,1639,cvar_0.25,15,0.0780633910153562,0.0,0.110692649915304,0.9811193145216156,0.6,9.533333333333331,100
4,0.6,1639,expected_revenue,15,0.1012094199204919,0.0,0.3919823978313784,0.9977396646349274,0.9333333333333332,9.533333333333331,100
4,0.7,1912,cvar_0.25,15,0.0654651832512271,0.0,0.1084125920747206,0.9840721364511328,0.6666666666666666,9.533333333333331,100
4,0.7,1912,expected_revenue,15,0.1012094199204919,0.0,0.3919823978313784,0.9977396646349274,0.9333333333333332,9.533333333333331,100
4,0.8,2185,cvar_0.25,15,0.0696313258911363,0.0,0.1115549874012799,0.9825707683550629,0.6666666666666666,9.533333333333331,100
4,0.8,2185,expected_revenue,15,0.1012094199204919,0.0,0.3919823978313784,0.9977396646349274,0.9333333333333332,9.533333333333331,100
5,0.01,29,cvar_0.25,15,0.7031487446634037,0.2040366858506792,1.2087520622025485,0.8738360003530008,0.2666666666666666,9.533333333333331,100
5,0.01,29,expected_revenue,15,3.7659620758989263,3.1551803752257257,5.052719461770549,0.906638075016124,0.3333333333333333,9.533333333333331,100
5,0.025,72,cvar_0.25,15,1.511448645227737,0.6909529189439851,1.8849397393736311,0.7496915130009808,0.1333333333333333,9.533333333333331,250
5,0.025,72,expected_revenue,15,6.765726155004032,6.023842352537997,5.621432741692812,0.7811977301161926,0.2,9.533333333333331,250
5,0.05,144,cvar_0.25,15,1.12634423860015,0.6909529189439851,1.1514537539984782,0.7960110199178554,0.0666666666666666,9.533333333333331,250
5,0.05,144,expected_revenue,15,4.707151377261422,3.779079844796852,4.8307846378112265,0.8698676712925095,0.2,9.533333333333331,250
5,0.1,287,cvar_0.25,15,0.8860298586039792,0.5931733113131905,1.0572836518635231,0.8562933364837256,0.0666666666666666,9.533333333333331,100
5,0.1,287,expected_revenue,15,3.4808542603734884,2.3920126682568306,5.173850690360746,0.9177156324567192,0.4,9.533333333333331,100
5,0.2,574,cvar_0.25,15,0.2389282263843658,0.0818691482522897,0.3303518660650937,0.95800355272728,0.2666666666666666,9.533333333333331,100
5,0.2,574,expected_revenue,15,2.337937470173996,0.0,3.79693367772518,0.956080261501878,0.6,9.533333333333331,100
5,0.3,861,cvar_0.25,15,0.2041406694411636,0.0292196349026774,0.2928892504766077,0.9671631533787878,0.4,9.533333333333331,100
